object_id,ra,dec,tileid,spe_context_error_flag,spe_context_warning_flag,spe_error_flag,spe_warning_flag,spe_grism,spe_npix,spe_z,spe_z_err,spe_z_rel,spe_cont_snr,spe_subclass,best_line_snr
2719356350673790877,271.9356350695311,67.37908779328394,102160061,0,32768,0,2,RGS,281,1.597762107849121,9.681120718596503e-05,0.9964427351951599,101.69317626953125,BX_SB3,3.876497745513916
2719356912672579897,271.9356912257156,67.25798979977371,102160061,0,32768,0,2,RGS,350,3.413863182067871,0.0013372651301324368,0.9646936058998108,40.43620681762695,Lya_em_SB1,0.0
2719359330675813223,271.9359330094311,67.58132230099771,102160061,0,32768,0,2,RGS,102,2.5878398418426514,0.0006105267675593495,0.1357976496219635,308.5224304199219,Sbc,0.0
2719359401673261985,271.9359401342161,67.32619853754002,102160061,0,32768,0,2,RGS,282,2.1687915325164795,0.001464778557419777,0.9694628715515137,nan,SB2,7.666375637054443
2719360655672560166,271.9360655732355,67.25601668390112,102160061,0,32768,0,2,RGS,384,1.1338979005813599,0.0011141188442707062,0.16767266392707825,23.693044662475586,Lya_abs_SB3,8.19172191619873
2719360916673410776,271.93609163459763,67.34107760800275,102160061,0,32768,0,2,RGS,468,0.6064878702163696,8.455757779302076e-06,0.9601597785949707,4834.97998046875,BX_SB3,17.410280227661133
2719362661677514181,271.93626619872714,67.75141813355008,102160061,0,32768,0,2,RGS,13,1.7925364971160889,0.002735256450250745,0.681254506111145,nan,BX_SB1,0.0
2719363720676383663,271.93637203859475,67.63836637024201,102160061,0,32768,0,2,RGS,414,0.04169618338346481,0.000339239661116153,0.14167934656143188,119.2856674194336,BX_Scd,6.754166603088379
2719365986675114176,271.93659864557765,67.51141762442235,102160061,0,32768,0,2,RGS,325,3.548285484313965,0.0007184151327237487,0.993671178817749,107.73614501953125,Lya_abs_SB3,5.46474552154541
2719366601676252578,271.93666012538495,67.62525788914203,102160061,0,32768,0,2,RGS,348,1.0066171884536743,0.0007558086654171348,0.8080482482910156,68.42127227783203,BX_SB3,8.748677253723145
2719366625674674312,271.9366625058299,67.46743128376079,102160061,0,32768,0,2,RGS,462,1.325535535812378,0.00034051440889015794,0.12818579375743866,299.87823486328125,BX_SB3,0.0
2719367552673613765,271.93675525147034,67.36137654245077,102160061,0,32768,0,2,RGS,457,3.313934326171875,0.0005486597656272352,0.9959942102432251,113.9290542602539,Lya_em_SB1,7.556708812713623
2719367786676535901,271.9367786336477,67.65359016241192,102160061,0,32768,0,2,RGS,364,4.3819475173950195,0.0030734222382307053,0.08358605206012726,40.63656997680664,BX_SB3,3.2359933853149414
2719368155676699101,271.9368155619362,67.66991018881431,102160061,0,32768,0,2,RGS,443,1.460218906402588,0.0006907065981067717,0.4469190239906311,195.30516052246094,Lya_em_SB3,9.411273002624512
2719368327676009570,271.9368327281744,67.60095701304124,102160061,0,32768,0,2,RGS,423,1.7855639457702637,0.001177392085082829,0.15136319398880005,42.67399215698242,Irr_Blue,0.0
2719369245674854431,271.9369245484875,67.48544313167804,102160061,0,32768,0,2,RGS,432,1.1759172677993774,0.00037642629467882216,0.9929234981536865,78.4041976928711,Lya_em_Scd,0.0
2719369789676693667,271.9369789849035,67.66936673986228,102160061,0,32768,0,2,RGS,322,2.6289753913879395,0.0007061955984681845,0.9976872205734253,57.1481819152832,Sbc,9.920364379882812
2719370162676050360,271.93701627787465,67.60503602897253,102160061,0,32768,0,2,RGS,262,1.5783517360687256,0.00016634126950521022,0.9972088932991028,378.0747375488281,Lya_abs_SB3,0.0
2719370831677279440,271.9370831275076,67.72794402688854,102160061,0,32768,0,2,RGS,77,1.2563542127609253,0.0008186991908587515,0.13841432332992554,37.60715866088867,BX_Scd,14.928730010986328
2719371091675018978,271.93710919114534,67.50189784621965,102160061,0,32768,0,2,RGS,456,1.3701430559158325,0.000918793841265142,0.7579724192619324,59.959835052490234,BX_SB1,4.571014881134033
